title,lyrics,artist,genre,album,year,binary_sentiment
The Harder They Come,"The Harder They Come. Well, they tell me of a pie up in the sky. Waiting for me when I die. But between the day you're born and when you die. They never seem to hear even your cry. So as sure as the sun will shine. I'm gonna get my share now, what's mine. And then the harder they come. The harder they fall, one and all. Ooh, the harder they come. Well, the oppressors are trying to keep me down. Trying to drive me underground. And they think that they have got the battle won. I say forgive them Lord, they know not what they've done. Cause, as sure as the sun will shine. Harder they fall, one and all. And I keep on fighting for the things I want. Though I know that when you're dead you can't. But I'd rather be a free man in my grave. Than living as a puppet or a slave. Hey, the harder they come. What I say now. What I Say now. What I say, one time. The harder they come, the harder they fall, one and all.",Jimmy Cliff,Reggae,The Harder They Come,1972.0,negative
Red Headed Stranger,"Red Headed Stranger. The red-headed stranger from Blue Rock, Montana. Rode into town one day. And under his knees was a raging black stallion. And walking behind was a bay. The red-headed stranger had eyes like thunder. And his lips, they were sad and tight. His little lost love lay asleep on the hillside. And his heart was heavy as night. Don't cross him, don't boss him. He's wild in his sorrow. He's riding and hiding his pain. Don't fight him, don't spite him. Just wait 'til tomorrow. Maybe he'll ride on again. A yellow-haired lady leaned out of her window. And watched as he passed her way. She drew back in fear at the sight of the stallion. But cast greedy eyes on the bay. But how could she know that this dancing bay pony. Meant more to him than life? For this was the horse that his little lost darling. Had ridden when she was his wife. Just wait till tomorrow. The yellow-haired lady came down to the tavern. And looked up the stranger there. He bought her a drink and he gave her some money. He just didn't seem to care. She followed him out as he saddled his stallion. And laughed as she grabbed at the bay. He shot her so quick, they had no time to warn her. She never heard anyone say. ""Don't cross him, don't boss him. ""He's wild in his sorrow. ""He's riding and hiding his pain. ""Don't fight him, don't spite him. ""Just wait 'til tomorrow. ""Maybe he'll ride on again"". The yellow-haired lady was buried at sunset. The stranger went free, of course. For you can't hang a man for killing a woman. Who's trying to steal your horse. This is the tale of the red headed stranger. And if he should pass your way. Stay out of the path of the raging black stallion. And don't lay a hand on the bay.",Willie Nelson,Country,Red Headed Stranger,1975.0,negative
To Be In Your Eyes,"To Be In Your Eyes. Night-time is so lonely. When you hear a sound. But it's only an empty heart. Beating on through the night. A sad sad drum. And I'm lying here listening. And the raindrops are all glistening. In my dreams. And it seems. That the sun never comes. And I want my sad reflection. To go drifting through the skies. To be in your eyes. And I'm waking to this aching. And it's breaking me in two. All the space. All the waste. All the distance between me and you. And the people with their voices. Random choices will they ever learn. To really see. Really be on fire when their spirit burns. I want the person inside me. To be someone I'd recognize. If he was in your eyes. So I'm waiting, contemplating. Relocating a faded image in my thoughts. But the memories are like clouds. Try so hard. But they never can be caught. But I'm trying, yes I'm trying. But I'm only lying in the dark. So alone. On my own. No one home. And if love was worth a fortune. Then I'd need a rise. I want these words to be the things. I hoped you'd realized.",The Church,Rock,The Blurred Crusade,,negative
Alice,Alice. Alice pressed against the wall. So she can see the door. In case the laughing strangers crawl and. Crush the petals on the floor. Alice in her party dress. She thanks you kindly. So serene. She needs you like she needs her tranqs. To tell her that the world is clean. To promise her a definition. Tell her where the rain will fall. Tell her where the sun shines bright. And tell her she can have it all. Today. Pass the crystal spread the Tarot. In illusion comfort lies. The safest way the straight and narrow. No confusion no surprise. Alice in her party dressed to kill. She the thanks you turns away. Needs you like she needs her pills. To tell her that the world's okay. Alice. Don't give it away. Nooo.,The Sisters of Mercy,Rock,Some Girls Wander by Mistake,,positive
Why We Thugs,"Why We Thugs. Yeah, every hood's the same. Every hood's the same, come on. They give us guns and drugs. Then wonder why in the fuck we thugs. They wanna count the slugs. Then come around here and fuck with us. I'm from the land of the gang bang. Since I was little, ain't a goddamn thang changed. It's the same old saying. Bush run shit like Saddam Hussein. I cock and aim, clinically insane. To deal with this bullshit day-to-day. If I sell some yay or smoke some hay. You bitches wanna throw me up in Pelican's Bay. Call me an animal up in the system. But who's the animal that built this prison? Who's the animal that invented lower-livin'? The projects, thank God for Russell Simmons. Thank God for Sugarhill. I'm putting a different kind of steel up to my grill. Y'all know what it is, scared for your own kids. How these ghetto niggas taken over showbiz. It's boys in the hood, it's toys in the hood. Y'all wanna know why there's noise in the hood. 'Cause there's drugs in the hood, thugs in the hood. Nigga killed a Crip and a Blood in the hood. 'Cause when niggas get tribal. It's all about survival, nobody liable. I got caught by Five-O. Grandmama came to court with her Bible. But when the judge hit the gavel. Now I'm too far from my family to travel. I just came unraveled. Socked the D.A. before I got gaffled. Owned by C.A, State Property. Just like the year fifteen fifty three. Looking for me, a one-way ticket out. Don't understand, what's so hard to figure out? Damn, I can't take the pressure. Pulled the 4-4 up out the dresser. Grabbed the weight up out the closet. Po-po coming, but I'm scared to toss it. Y'all know what happened last time I lost it. Can't tell you niggas what the fuckin' boss did. D game got a nigga exhausted. Gotta go for the plea bargain they offered. Twenty years for what? Breaking these laws that's so corrupt. Taking these halls and fillin' them up. Some powder keg shit that's about to erupt. Aye, y'all, I'm about to be stuck. Until the year two thousand, what the fuck? In the hood, don't press your luck. 'Cause these motherfuckers will set you up, word up. Every hood's the same, every hood's the same. Every hood's the same, stop trippin on it. Every hood's the same.",Ice Cube,Hip-Hop,"Laugh Now, Cry Later",2006.0,negative
Little Bitty,"Little Bitty. Have a little love on a little honeymoon. You got a little dish and you got a little spoon. A little bitty house and a little bitty yard. A little bitty dog and a little bitty car. Well, it's alright to be little bitty. A little hometown or a big old city. Might as well share, might as well smile. Life goes on for a little bitty while. A little bitty baby in a little bitty gown. It'll grow up in a little bitty town. Big yellow bus and little bitty books. It all started with a little bitty look. Hehyeee!. You know you got a job and a little bitty cheque. A six pack of beer and television set. Little bitty world goes around and around. Little bit of silence and a little bit of sound. A good ole boy and a pretty little girl. Start all over in a little bitty world. Little bitty plan and a little bitty dream. It's all part of a little bitty scheme. It's alright to be little bitty.",Alan Jackson,Country,Everything I Love,1996.0,positive
Coat of Many Colors,"Coat of Many Colors. Back through the years. I go wondering once again. Back to the seasons of my youth. I recall a box of rags that someone gave us. And how my mama put the rags to use. There were rags of many colors. Every piece was small. And I didn't have a coat. And it was way down in the fall. Mama sewed the rags together. Sewing every piece with love. She made my coat of many colors. That I was so proud of. As she sewed, she told a story. From the bible, she had read. About a coat of many colors. Joseph wore and then she said. Perhaps this coat will bring you. Good luck and happiness. And I just couldn't wait to wear it. And momma blessed it with a kiss. My coat of many colors. That my mama made for me. Made only from rags. But I wore it so proudly. Although we had no money. I was rich as I could be. In my coat of many colors. My mama made for me. So with patches on my britches. Holes in both my shoes. I hurried off to school. Just to find the others laughing. And making fun of me. And oh I couldn't understand it. For I felt I was rich. And I told them of the love. My mama sewed in every stitch. And I told them all the story. Mama told me while she sewed. And how my coat of many colors. Was worth more than all their clothes. But they didn't understand it. And I tried to make them see. That one is only poor. Only if they choose to be. Now I know we had no money. But I was rich as I could be. Made just for me.",Dolly Parton,Country,Coat of Many Colors,1971.0,positive
Food For Thought,"Food For Thought. Ivory Madonna, dying in the dust. Waiting for the manna coming from the west. Barren is her bosom, empty as her eyes. Death a certain harvest scattered from the skies. Skin and bones is creeping, doesn't know he's dead. Ancient eyes are peeping, from his infant head. Politicians argue sharpening their knives. Drawing up their bargains, trading baby lives. Hear the bells are ringing, Christmas on it's way. Hear the angels singing, what is that they say? Eat and drink rejoicing, joy is hear to stay. Jesus son of Mary is born again today.",UB40,Reggae,Signing Off,1980.0,negative
Jah Bless Me,"Jah Bless Me. I know Jah-Jah bless me. No wicked heart can test me. No matter how they try. Oh I, know Jah man infest me. And my fans a request me. Nah go make mi river run dry. As far as the wind blows from the west to the east side. I and I praises never cease, oh Lord. Emperor Selassie I, never cease the judgement that the wicked man keep. I know them must get defeat, oh Lord. So ghetto youths be wise. And open up your eyes. Because, yeah-yeah-yeah, yeah. Nah go make di river run dry. Why keep fighting in your mind, when you know it cannot tell? Parts of you is so unkind, wonder what is under your veil? The fools shall depart, from His will, yeah. So clean up your heart, before you end up under cell. Jah-Jah say. ""You should never diss the righteous, you'll never make it from your unjust"". Emperor Selassie I, him judgement never cease, that the wicked man keep. I know them must get defeat, why?, wow, yeah. Because, yeah-yeah-yeah.",Jah Cure,Reggae,"Free Jah’s Cure - The Album, The Truth",,negative
There for You,"There for You. Tra la la...Tra la la. La la la...la la. Hey!. Vexation of spirit is a waste of time. Negative thinking, don't you waste your thoughts. Verbal conflict is a waste of word. Physical conflict is a waste of flesh. People will always be who they want. And that's what really makes the world go round. Unconditional love is scarce. Till shiloh I shall not forsake thee. Now and forever more. Forever more, forever more. Yeah. You see, you gave precious life to me. So I live my life for you, you. You see, you've always been there for me. And so I'll be there for you, you. Bless your eyes and may your days be long. May you rise on the morning when His kingdom come. Good deeds aren't remembered in the hearts of men. Bless your eyes and may your dreams come true. May you rise on the morning when Jah kingdom come. You see, you've always had faith in me. So I have faith in you, you. You've always been good to me. Even when I'm not good to myself. You've always been fair to me. Even when I'm not fair to myself. You've always done right by me. So I will do right by you, you. You've always been there for me, mama. So I'll be there for you, papa. You've always been fair to me, brother. And so I'll be fair to you, sister. You've always had faith in me. And so I'll have faith in you, you. You've always been to kind to me. You've always stood up for me. You've always been there for me. You've always been, oooh. You always did care for me, yeah. You always did share with me, yeah. You always been true to me. And so I'll be true to you.",Damian Marley,Reggae,Welcome to Jamrock,2005.0,positive
Longing For,"Longing For. Yeah, you know. Only you. Mmm. Only you can make me feel just like a king. Love you give to me so real. Makes me give in. Girl, just like magnet to steel, your love keeps pulling me in. If its a battle, I'll fight for you, I have to win. To prove to you my love is so deep within. Its even getting deeper since I reach prison. Longing for. My baby to love me more. What am I longing for? Babylon, release the Cure. When, when, when, when. Can we see each other again? Ahhhh. I know that someone must be there comforting you. Whenever you need a friend!. I'll make you mine. Give me some time. Surely make you mine. It may be long, but not forever. I vow...to get myself together. I love you baby, always on my mind, no matter the time. What am I longing for?!. My baby to love me more!. What am I longing?!. Longing?!. What am I longing, yeah? Yeah!. No!. If its a battle, I'll fight for you, I'll surely win. [To prove to you my love is so deep within. Its even getting deeper since. What am I longing for. Babylon. Release the Cure, yeah.",Jah Cure,Reggae,True Reflections...A New Beginning,,positive
Wild World,"Wild World. Don't go. Please stay. Now that I've lost everything to you. You say you wanna start something new. And it's breakin' my heart you're leavin'. Baby, I'm greavin'. But if you wanna leave, take good care. I hope you have a lot of nice things to wear. But then a lot of nice things turn bad out there. Oh, baby, baby, it's a wild world. It's hard to get by just upon a smile, girl. I'll always remember you, like a child, girl. You know I've seen a lot of what the world can do. And it's breaking my heart in two. Because I never wanna see you a sad girl. Don't be a bad girl. Hope you make a lot of nice friends out there. But just remember there's a lot of bad everywhere. You know, I've seen a lot of what the world can do. 'Cause I never wanna see you a sad girl. But then lot of things turn bad out there.",Maxi Priest,Reggae,Maxi,,negative
Calypso,"Calypso. To sail on a dream on a crystal clear ocean. To ride on the crest of the wild raging storm. To work in the service of life and the living. In search of the answers to questions unknown. To be part of the movement and part of the growing. Part of beginning to understand. Aye, Calypso, the place's you've been to. The things that you've shown us, the stories you tell. Aye, Calypso, I sing to your spirit. The men who have served you so long and so well. Like the dolphin who guides you, you bring us beside you. To light up the darkness and show us the way. For though we are strangers in your silent world. To live on the land we must learn from the sea. To be true as the tide and free as a wind swell. Joyful and loving in letting it be.",John Denver,Country,Windsong,1975.0,positive
Boys Don’t Cry,"Boys Don’t Cry. I would say I'm sorry. If I thought that it would change your mind. But I know that this time. I've said too much, been too unkind. I tried to laugh about it. Cover it all up with lies. Hiding the tears in my eyes. 'Cause boys don't cry. Boys don't cry. I would break down at your feet. And beg forgiveness, plead with you. But I know that it's too late. And now there's nothing I can do. So I try to laugh about it. I try to laugh about it. I would tell you that I loved you. If I thought that you would stay. But I know that it's no use. And you've already gone away. Misjudged your limits. Pushed you too far. Took you for granted. I thought that you needed me more, more, more. Now I would do 'most anything. To get you back by my side. But I just keep on laughing.",The Cure,Rock,Boys Don’t Cry,1979.0,negative
Ambitionz Az a Ridah,"Ambitionz Az a Ridah. I won't deny it, I'm a straight ridah. You don't wanna fuck with me. Got the police bustin' at me. But they can't do nothin' to a G. Let's get ready to rumble!. Now, you know how we do it, like a G. What really go on in the mind of a nigga. That get down for theirs. Constantly, money over bitches. Not bitches over money. Stay on your grind, nigga. My ambitions as a ridah. So many battlefield scars while driven in plush cars. This life as a rap star is nothin' without guard. Was born rough and rugged, addressin' the mass public. My attitude was ""fuck it,"" 'cause motherfuckers love it. To be a soldier, must maintain composure at ease. Though life is complicated, only what you make it to be. Uh, and my ambitions as a ridah. To catch her while she hot and horny, go up inside her. Then I spit some game in her ear, ""Go to the telly, ho!"". Equipped with money in a Benz 'cause, bitch, I'm barely broke. I'm smokin' bomb-ass weed, feelin' Crucial. From player to player, the game's tight, the feeling's mutual. From hustlin' and prayers to breakin' motherfuckers to pay up. I got no time for these bitches, 'cause these hoes try to play us. I'm on a meal ticket mission, want a mil' so I'm wishin'. Competition got me ripped on that bullshit they stressin' (Booyah). I'ma rhyme though, clown hoes like it's mandatory. No guts, no glory, my nigga, bitch got the game distorted. Now it's on and it's on because I said so. Can't trust a bitch in the business so I got with Death Row. Now these money-hungry bitches gettin' suspicious. Started plottin' and plannin' on a scheme to come and twist us. But thug niggas be on point and game tight (Yeah). Me, Syke and Bogart strapped up the same night. Got problems, then handle it, motherfuckers see me. These niggas is jealous. 'Cause deep in the hearts they wanna be me. Uh, yeah, and now you got me right beside ya, hopin' you listen. I catch you payin' attention to my ambitions as a ridah. (My ambitions as a ridah). But they can't do nothin' to a G. (I won't deny it, I'm a straight ridah). It was my only wish to rise. Above these jealous coward motherfuckers I despise. When it's time to ride, I was the first off this side, give me the .9. I'm ready to die right here tonight and motherfuck they life. That's what they screamin' as they drill me, but I'm hard to kill. So open fire, I see you kill me, witness my steel. (That's all you niggas got?). Spittin' at adversaries, envious and after me. I'd rather die before they capture me, watch me bleed. Mama, come rescue me, I'm suicidal, thinkin' thoughts. I'm innocent so there'll be bullets flyin' when I'm caught (Shoot). Fuck doin' jail time, better day, sacrifice. Won't get a chance to do me like they did my nigga Tys. Thuggin' for life, and if you right, then nigga die for it. Let them other brothers try, at least you tried for it. When it's time to die, to be a man and pick the way you leave. Fuck peace and the police, my ambitions as a ridah. But they can't do nothin' to a G. My murderous lyrics, equipped with spirits of the thugs before me. Pay off the block, evade the cops 'cause I know they comin' for me. I been hesitant to reappear, been away for years. Now I'm back, my adversaries been reduced to tears. Question my methods to switch up speeds. Sure as some bitches bleed. Niggas'll feel the fire of my mother's corrupted seed. Blast me but they didn't finish, didn't diminish my powers. (Buck-buck-buck-buck-buck). So now I'm back to be a motherfuckin' menace. They cowards, that's why they tried to set me up. Had bitch-ass niggas on my team so indeed they wet me up. But I'm back reincarnated, incarcerated. At the time I contemplate the way that God made it. Lace 'em with lyrics that's legendary, musical mercenary. For money I'll have these motherfuckers buried. I been gettin' much mail in jail, niggas tellin' me to kill it. Knowin' when I get out they gon' feel it. Witness the realest, a hoo-ridah when I put the shit inside. The cry from all your people when they find ya. Just remind ya, my history'll prove authentic. Revenge on them niggas that played me. And all the cowards that was down with it. Now it's your nigga right beside ya, hopin' you listenin'. Catch you payin' attention to my ambitions as a ridah. But they can't do nothin' to a G. I won't deny it, I'm a straight ridah.",2Pac,Hip-Hop,All Eyez on Me,1996.0,negative
Your Love Alone Is Not Enough,"Your Love Alone Is Not Enough. Your love alone. Is not enough, not enough, not enough. When times get tough. Oh, they get tough, they get tough, they get tough. Trade all your heroes. In for ghosts, in for ghosts, in for ghosts. They're always the ones that. Love you most, love you most, love you most. It's what you felt. It's what you said, what you said, what you said. You said the sky would. Fall on you, fall on you, fall on you. Through all the pain. Your eyes stayed blue, they stayed blue, baby blue. But your love alone won't save the world. You knew the secret of the universe. Despite it all you made it worse. It left you lonely. It left you cursed. You stole the sun. Straight from my heart, from my heart, from my heart. With no excuses. Just fell apart, fell apart, fell apart. No you won't make. A mess of me, mess of me, mess of me. For you're as blind as. A man can be, man can be, man can be. I could have seen for miles and miles. I could have made you feel alive. I could have placed us in exile. I could have shown you how to cry. Your love alone is not enough. La la la la la la la la. I could have shown you. I show you how to cry.",Manic Street Preachers,Rock,Send Away the Tigers,2007.0,negative
New Slaves,"New Slaves. Chill, chill, chill, chill, chill, chill. My mama was raised in the era when. Clean water was only served to the fairer skin. Doin' clothes, you woulda thought I had help. But they wasn't satisfied unless I picked the cotton myself. You see it's broke nigga racism. That's that ""Don't touch anything in the store"". And it's rich nigga racism. That's that ""Come in, please buy more"". ""What you want, a Bentley? Fur coat? A diamond chain? All you blacks want all the same things"". Used to only be niggas, now everybody playin'. Spendin' everything on Alexander Wang. New slaves. You see it's leaders and it's followers. But I'd rather be a dick than a swallower. I throw these Maybach keys. I wear my heart on the sleeve. I know that we the new slaves. I see the blood on the leaves. They throwin' hate at me. Want me to stay at ease. Fuck you and your corporation. Y'all niggas can't control me. I'm 'bout to wild the fuck out. I'm goin' Bobby Boucher. I know that pussy ain't free. You niggas pussy, ain't me. Y'all throwin' contracts at me. You know that niggas can't read. Throw on some Maybach keys. Fuck it, c'est la vie. Y'all niggas can't fuck with me. Y'all niggas can't fuck with 'Ye. I'll move my family out the country. So you can't see where I stay. So go and grab the reporters. So I can smash their recorders. See, they'll confuse us with some bullshit. Like the New World Order. Meanwhile the DEA. Teamed up with the CCA. They tryna lock niggas up. They tryna make new slaves. See, that's that privately owned prison. Get your piece today. They prolly all in the Hamptons. Braggin' 'bout what they made. Fuck you and your Hampton house. I'll fuck your Hampton spouse. Came on her Hampton blouse. And in her Hampton mouth. Y'all 'bout to turn shit up. I'm 'bout to tear shit down. I'm 'bout to air shit out. Now what the fuck they gon' say now? I won't end this high, not this time again. So long, so long, so long, you cannot survive. And I'm not dyin', and I can't lose. I can't lose, no, I can't lose. 'Cause I can't leave it to you. So let's get too high, get too high again. Too high again, too high, ooh hoo-hoo-hoo, woo. Yeah, h-h-h-high, h-high-high, high-high high-igh-high-high. H-high-igh, yeah, high, high-igh. Egyszer a Nap ugy elfaradt (mhm-igh). Elaludt mely zold to olen. Az embereknek fajt a sotet. O megsajnalt, eljott kozenk.",Kanye West,Hip-Hop,Yeezus,2013.0,negative
Niggaz 4 Life,"Niggaz 4 Life. Why you brothers insist on usin' the word nigga? Don't you know that's bringin' down the black race? Nigga nigga nigga that's all I hear you motherfuckers talk about is nigga. You can do what you want, just keep it out of my neighborhood. Personally I think the lyrics are a bit too harsh. I ain't no nigga, fuck that shit. Does everything come out your mouth got to be a 4-letter word? All over this bullshit, it's just a bunch of fuckin' noise. The way you talk about women is bullshit, plain bullshit. What you motherfuckers doin' for the black community anyway? Motherfucker I got kids, I don't want 'em listenin' to that bullshit. {*hospital monitor starts beeping*}. Fuck the niggas!. Motherfuckers need to stop. How can you call yourself a nigga and be proud of it? {*monitor stops beeping - R.I.P.*}. Flatline. Bullshit!. Why do I call myself a nigga you ask me? Well it's because motherfuckers wanna blast me. And run me outta my neighborhood. And label me as a dope dealer yo, and say that I'm no good. But I gave out jobs so niggas wouldn't have to go out. Gave em some dope and a corner so they could show out. When the cops came, they gave a fake name. Because the life in the streets is just a head game. So therefore, to make more. A 15-year-old black kid'll go and rob a liquor store. And get shot in the process. He ate up a nine bullet and now he's put to rest. I guess it's just the way shit has to be. Back when I was young gettin' a job was murder. Fuck flippin' burgers, cause I deserve a. Nine-to-five I can be proud of, that I can speak loud of. And to help a nigga get out of. Yo! The concrete playground. But most motherfuckers only want you to stay down. But I'm a smart motherfucker you see. One of the best producers in the rap music industry. Gettin' paid like a motherfucker. A young brother, who don't give a fuck about another. Yeah. Because police always wanna harass me. Every time that I'm rollin. They swear up and down that the car was stolen. Make me get face down in the street. And throw the shit out my car on the concrete. In front of a residence. A million white motherfuckers on my back like I shot the President. Because my mouth is so motherfuckin' nasty. Bitch this, bitch that, nigga this, nigga that. In the mean while my pockets are gettin' fat. Gettin' paid to say this shit here. Makin' more in a week than a doctor makes in a year. So why not call myself a nigga? It's better than pullin' the trigger and goin' up the river. And then I get called a nigga anyway. Broke as a motherfucker and locked away, so. So cut out all that bullshit. I guess I'll be a nigga for life. (""Niggas, crackers, jews!"". ""If there's hell below, we're all gonna go!""). Nigga nigga nigga nigga nigga nigga, please. I'm treated like a fuckin' disease. You say - why do I call myself a nigga so quick? Cause I can reach in my drawers and pull out a bigger dick, yo. Nigga say nigga we cool but. Cracker say nigga, nigga knocked the fuck up. But I gotta be a fast nigga, to never be the last nigga. Or I'll have to beat yo' ass, nigga. In the city you see action first. Then hear about it later in a verse I curse. Because I'm real with this to keep my shit straight bumpin. Murder, created by the streets of Compton. Now get it from the underground poet. I live it, I see it, and I write it because I know it. And if you think I'm fuckin' your wife. You're motherfuckin' right yo, cause I'm a nigga for life. I love niggas, I love niggas, I love niggas. Because niggas are me. And I should only love that which is me. I love that you niggas (""niggas for life""). Nigga this, nigga that. The actual fact is that I'm black and bound to attract. The attention of another, I mean the other. But I'm a motherfucker that'll have 'em runnin' for cover. You see, I don't give a fuck about nothin'. Except gettin' paid, gettin' bitches, and issuin' stitches. Which is, all needed to read it and find a rhyme. And then it's time to say, the nigga's here to stay. But what about the fake niggas, the house niggas. To get paid quick they gotta suck a fat dick. But N.W.A. is outta your motherfuckin' range. We ain't gonna change a motherfuckin' thang!. I call myself a nigga cause my skin won't lighten. I call myself a nigga cause the shit that I'm writin. Hypes me, hypes other motherfuckers around me. And that's the reason why they wanna surround me. And ask me - why do I call myself a negro? Ain't none of their fuckin' business cause I'll let the trigger go. So get out my presence and get out of my sight. Cause MC Ren is a nigga for life. You're a nigga 'til you die. If you're a po' nigga, you're a po' nigga. If you're a rich nigga, you're a rich nigga. But you never stop bein' a nigga. And if you get to be educated you just an educated nigga. (""I can dig it!""). It's plain to see, you can't change me. Cause I'mma be a nigga for life. {*static noise*}. I'm a nigga, he's a nigga, she's a nigga, we some niggas. Wouldn't you like to be a nigga too?",N.W.A,Hip-Hop,Efil4zaggin,1991.0,negative
All We Ever Wanted Was Everything,"All We Ever Wanted Was Everything. All we ever wanted was everything. All we ever got was coal. Get up, eat jelly. Sandwich bars, and barbed wire. Squash every week into a day. The sound of the drum is calling. The sound of the drum has called. Flash of youth shoot out of darkness. Factorytown. Oh, to be the cream.",Bauhaus,Rock,The Sky’s Gone Out,1982.0,negative
A Roller Skating Jam Named “Saturdays”,"A Roller Skating Jam Named “Saturdays”. (And rollerskates). Girl meets boy on Thursday night. Boy was high, girl fly like kite. They hold hands until next day. Boy then lets go, hit his way. Boy rules butt, brags to his boys. Erection brings bad boy joys. Boy thinks of that big fat back. Big black fat love, big black fat. Girl calls boy to stand him up on Saturday. Saturday. Saturday, it's a Saturday. It's a Saturday, it's a Saturday. Back once more with the wallop in the score. Must I ride and rip, should I make you rock your hip. Reviver of a roller-boogie in a rink. And sure to make you think about the times. To scope fun instead of fights. (But diving from a piece of metal sure to take your life). Yo, slip your butt to the fix of this mix. Toss that briefcase, it's time to let loose. Cause you've worked like heck to get the weekend check. So unfasten that noose around your neck. Connected like a vibe from the wheel to the foot. Come on everybody dig the funky output. Five days you work. One whole day to play. Come on everybody, wear your rollerskates today. It's Saturday, Saturday. Saturday, it's Saturday. Saturday, it's Saturday-ay. (Is the word, is the word, is the word). Now as you pump your fist I reminisce. To a bounce, rock, skate, roll fest to impress. Hey, pretty diamond, do you like the way I'm dressed. Cool, keep the faith and be my mate. Cause all we need is feet. But promote the hustle cause it keeps me thin. No need to talk, look who just walked in. (Is there a Dred on skates?). Yes, man. (So kick the wham on this jam). Oh Mr. Sprinkler, Mr. Sprinkler. Wet me for one, Mr. Sprinkler. I'm heatin' high-five in a daze, no split. With a yawn I trip to the dawn. Out comes the bodies following the one idea. It's clear, rattle to the roll. Hold back up the track, grab your rollerskates y'all. And let's zip on by. Zip-a-de-doo-dah, let's zip on by. Feed on a weed and we're feeling high. Sun is on thick and the cheese is rollin' quick. Come on, there's no time to hide. Season is twist, spinning and winning. No hackeysack, let let me in. Spill on the bottom away, but it's okay, huh. It's a Saturday. Pos: Now let's all get baked like Anita. Q-Tip: Watch Mr. Lawnge, don't look at the peter. Dove: Feel on the fun, I'll feel on the. Vinia: Hey, watch that!. De La Soul: It's a Saturday. Now is the time. To act the fool tonight. Forget about your worries and you will be all right. Saturday, it's Saturday-ay-ay-ay-ay-ay. (Aaoww). (Saturday) x8.",De La Soul,Hip-Hop,De La Soul is Dead,1991.0,positive
The Message,"The Message. This one is for my brother, Tyree, R.I.P. A message to God. Since you finishing em early, what possessed you to start him? We made a vow - later we'll regret til death do us part. Lord, I thought we was made for each other. You shouldn't connect those, made to be taken away from each other. Now what I'm supposed to do? I'm only half the man that I was. I'll never last, cause my better half is up there with you. You knew what you was doing when you made us, so with all due respect. You coulda forgave him, you didn't have to take him. He can take the game with him, cause he defines the word. The one who puts the G in it, who you think put me in it? I'm feeling like my whole world is blinded, wondering why. Crying, pouring out my heart, pouring out liquor behind it. We fought like brothers, something we never should do. We coulda used time spent arguing telling the truth. He had talent too - I had plans on watching him blow. Don't know what hurts more, seeing him leave, or watching him go. Listen, listen, listen (Listen). Listen, listen, listen (Better listen). Listen, listen, listen. Listen. If you wan' know why (Why I live my life). The way that I do (Cause I got to get this money). So don't worry about me (Cause I know my way around). I'm just hustlin' everyday, runnin' this race, makin' this paper. You's a soldier, you're probably packing heat up there. Met up with homies from the street, and got deep up there. If you only knew the way I felt before they ruined the crew. I thought I learned from Eazy, now I'm going through it with you. We lost a thug, a son, and a father. I spoke to your son, the other day, and told him Uncle Dre got him. The Lord must be accidentally pulling your file. Cause I'm still paging you, 911, straight in denial. Prayin' you get it, but no man can choose the card he was dealt. You either quit, or you gon' play it like you get it. I done been through all emotions, from in shock, to keeping a poker face. To straight breaking down and showing all emotions. I'm anxious to believing real G's don't cry. If that's the truth, then I'm realizing I ain't no gangsta. It's just not me, but you know I'mma always ride wit you. I miss you, sometimes I wish I just died with you. [Listen, listen, listen (Listen). Listen](7469635). If you don't know why I you gotta listen up right now. Listen, listen, listen, listen. Listen, listen. Listen, listen, children, listen. I'm tryin to tell you somethin' good. Don't get caught up in the hood, yeah. If you don't know why. You gotta find out the reason why. Brother, brother. Oh, you're Doctor Dre. Ha-ha, are you a real doctor dude? I mean like, you know, can you prescribe some drugs for me man? Come on dude, I'll split whatever I get with ya, okay? Hahahaha. Ah, the chronic.",Dr. Dre,Hip-Hop,2001,1999.0,negative
Stand,"Stand. Stand in the place where you live. Now face north. Think about direction. Wonder why you haven't before. Now stand in the place where you were. Now face west. Think about the place where you live. If you are confused, check with the sun. Carry a compass to help you along. Your feet are going to be on the ground. Your head is there to move you around. If wishes were trees, the trees would be falling. Listen to reason, the season is calling. Listen to reason, reason is calling. So stand (Stand!). Now stand (Stand!). Wonder why you haven't. Stand in the place where you are. (Stand in the place where you are). Your head is there to move you around, so stand.",R.E.M.,Rock,Green,,positive
Hippopotamus,"Hippopotamus. Skinheads, all you skinheads. C'mon, let's move and groove, ohh. You all hypocrite, you all hippopotamus, you all hypocrite, you. You all hypocrite, you all hippopotamus, you all hypocrite, yeah. You nah fe gwan so. You nah fe galang so. What goes up, sir, must come down. You too commutive. Wicked and bad minded, conniving. (Hippopotamus). (You all hypocrite,you all hippopotamus).",Desmond Dekker,Reggae,King of Ska: Greatest Hits,,negative
